Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
unid. Empidonax flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Phoebe,38,16,51,29,28,39,37,41,49,67,69,44,26,35,48,21,15,24,27,21,37,29,51,41,89,97,97,78,126,157,92,112,106,181,164,210,243,176,213,217,253,222,239,215,243,260,333,327,260,165,199,286,203
Loggerhead Shrike,87,72,66,55,30,31,26,34,29,8,8,15,9,4,11,6,5,5,4,4,4,15,5,4,21,13,9,12,26,33,19,18,20,16,5,26,37,26,22,20,25,15,28,33,49,66,39,30,23,22,17,21,17
White-eyed Vireo,41,51,36,56,33,56,66,88,71,75,63,110,86,71,116,87,74,90,101,70,121,82,114,98,161,175,187,211,276,261,243,203,235,261,293,310,387,383,326,289,294,311,353,291,405,342,388,421,482,507,564,532,541
Yellow-throated Vireo,11,12,15,18,12,20,16,18,19,21,19,39,32,31,37,15,26,25,30,28,35,35,42,35,58,102,85,78,102,116,83,91,90,107,128,135,127,119,103,104,143,130,107,84,123,150,155,130,181,142,190,165,147
Blue-headed Vireo,0,0,4,4,1,2,0,1,16,15,35,20,35,25,17,4,19,3,18,1,14,16,19,9,12,32,13,47,127,86,68,59,77,102,99,106,103,102,122,102,95,108,99,108,105,106,102,105,108,111,120,137,97
Warbling Vireo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3,1,0,1,0,0,0,1,0,0,0,3,0,1,2,0,1,3,3
Red-eyed Vireo,174,128,200,163,98,200,184,186,138,244,263,360,341,283,328,198,220,247,342,180,290,259,278,266,516,598,484,509,867,829,928,918,919,1046,1178,1289,1120,1288,1125,1240,1197,1001,904,813,916,1132,1047,968,983,989,1020,1219,988
Blue Jay,351,340,494,472,390,568,535,609,467,418,380,459,338,327,344,264,241,251,285,170,236,267,294,278,684,490,544,551,635,656,789,640,576,752,726,777,855,839,728,758,863,799,805,646,795,1078,1005,875,810,844,783,927,847
American Crow,395,372,543,416,384,731,618,636,533,628,598,805,637,542,618,332,483,506,405,350,481,436,656,620,1326,1329,1285,1340,1927,2147,2163,2313,2007,2433,2656,2938,3009,2655,2199,2303,2806,2606,2507,2427,2941,3337,3625,3353,3200,3338,3389,3555,3310
Fish Crow,16,27,13,41,46,121,159,187,108,119,38,85,93,97,129,136,177,106,149,135,216,154,149,172,286,197,353,246,291,306,244,217,294,378,268,300,247,278,221,305,260,296,280,245,270,300,335,340,267,298,279,246,297
